id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt,self_intro
46,1,7,2,167.0000002,48.00000004,3,51.00000002,637.9999861,0.999999967,Go big or go home
47,1,1,1,171.9999999,60.00000089,2,150.000003,499.9999841,20.00000058,
48,1,7,2,171.9999999,80.00000179,3,120.0000003,49.99999928,0,interesting
49,1,7,2,171.9999999,58.00000101,3,200,446.5263317,3.881536554,Boring
50,1,12,1,170.0000003,70.0000003,1,122.2923055,1699.999932,3.881536554,Karma
51,1,11,2,173.9999995,65.0000006,2,87.00000048,399.0000059,3.881536554,handsome
52,1,7,2,171.9999999,62.00000077,5,98.99999797,300.0000045,0.099999999,Good
53,1,2,1,162.9999995,65.0000006,2,100.0000015,323.0000165,1.999999934,i?˜m lazy.
54,2,6,2,165.9999996,54.38461581,5,180.0000012,594.0000044,16.29,Good at listen to other
55,1,3,2,173.7249807,80.00000179,3,122.2923055,0,3.881536554,
56,1,5,1,177.0000011,55.00000015,3,140.0000036,813.9999653,3.881536554,
57,1,7,1,173.7249807,60.00000089,3,87.00000048,333.000005,9.799999925,No
58,1,8,2,180.0000012,65.0000006,2,110.9999999,456.0000068,3.881536554,I am kind
59,2,6,2,160.0000004,64.00000072,3,95.00000179,287.0000088,2.510735898,A girl.
60,1,10,2,168.0000007,57.00000003,4,100.0000015,446.5263317,0.081999999,despair
61,1,12,1,173.7249807,67.58064419,3,87.00000048,0,0,Ah
62,1,6,2,184.9999994,67.58064419,3,87.00000048,446.5263317,3.881536554,
63,1,8,2,167.0000002,67.58064419,5,120.0000003,99.99999857,0.999999967,Good
64,2,6,2,179.000001,69.99999934,3,87.99999952,119.9999967,2.510735898,Show me the money!
65,1,12,1,173.7249807,84.9999994,4,120.0000003,446.5263317,1.999999934,
66,1,12,2,173.7249807,80.00000179,3,180.0000012,999.9999681,20.00000058,smart and handson
67,1,7,1,171.9999999,73.00000012,1,200,446.5263317,3.881536554,lol
68,2,6,1,162.0000004,54.38461581,3,132.250002,800.0000007,3.999999898,Fintech
69,1,7,2,178.0000001,67.00000048,3,125,600.0000089,0.499999984,Happy
70,1,5,2,180.0000012,82.99999952,3,122.2923055,49.99999928,3.881536554,try everything
71,1,9,2,175,70.0000003,3,110.9999999,0.999999969,20.00000058,"Luke, I am Your Father"
72,2,12,1,155.0000002,52.99999955,5,100.0000015,300.000001,0.999999975,BlingBling
73,1,5,2,180.0000012,75,2,122.2923055,499.9999841,5.000000145,I'm boring man.
74,1,6,1,173.7249807,65.0000006,4,87.00000048,199.9999971,10.00000029,prefect
75,1,10,1,164.0000001,71.00000024,1,95.00000179,150.0000022,20.00000058,I love fishing.
76,1,6,2,170.0000003,60.00000089,4,120.0000003,649.9999863,3.881536554,
77,2,9,1,160.0000004,54.38461581,3,132.250002,535.9999794,9.999999989,Marginalized
78,2,7,1,156.0000003,47.99999978,2,180.0000012,100.0000011,2.510735898,Open mind
79,1,5,2,170.0000003,67.58064419,3,98.99999797,99.00000148,10.00000029,busy
80,1,2,1,168.0000007,73.00000012,3,180.0000012,446.5263317,7.999999738,
81,1,7,1,171.9999999,67.58064419,3,122.2923055,446.5263317,0.999999967,
82,1,7,2,170.0000003,70.0000003,4,122.2923055,499.9999841,3.881536554,Simple
83,1,12,1,173.0000004,70.0000003,5,100.0000015,199.9999971,0,IMMGT
84,1,1,1,175,82.00000167,2,90.00000209,300.0000045,0.199999997,I'm so cute
85,1,6,1,173.0000004,63.00000072,4,122.2923055,446.5263317,5.999999803,Humorous person
86,1,6,1,173.0000004,67.58064419,4,122.2923055,446.5263317,5.999999803,Humorous person
87,1,7,1,181.9999993,75,1,120.0000003,20.00000103,3.881536554,hello world
88,2,6,2,160.0000004,50.00000024,2,100.0000015,50.00000116,3.000000045,I am a nervous person.
89,2,4,2,160.0000004,54.38461581,3,144.9999988,137.9999934,3.999999898,Old
90,2,3,2,161.0000004,80,2,110.0000009,150.0000011,3.000000045,
91,1,4,1,173.7249807,65.0000006,3,87.00000048,986.9999796,3.881536554,
92,1,2,1,173.7249807,67.58064419,4,187.0000035,446.5263317,3.881536554,Fuck you
93,2,12,1,165.0000005,54.38461581,3,110.0000009,899.0000013,1.999999949,I am a good people
94,1,1,2,161.9999997,50.00000045,2,122.2923055,1234.000042,3.881536554,handsome
95,1,6,1,173.7249807,74.00000006,3,200,446.5263317,1.999999934,
96,2,4,2,155.0000002,54.38461581,4,180.0000012,300.000001,0,Human.
97,1,6,2,173.7249807,67.58064419,3,123.0000019,123.0000018,3.881536554,one sentence
98,1,11,2,178.0000001,68.00000042,5,120.0000003,1099.999993,0.099999999,Gentle
99,1,12,1,175.999999,64.00000066,4,100.0000015,120.0000018,5.000000145,
100,1,6,2,178.0000001,55.00000015,4,50,0,3.881536554,Dank
101,1,1,2,169.8699996,67.58064419,3,133.0000013,222.0000033,3.881536554,viewer
102,1,9,2,170.0000003,65.0000006,2,124.000001,150.0000022,0.999999967,
103,1,7,1,173.7249807,82.99999952,3,147.9999959,446.5263317,20.7,Incredible
104,1,4,2,171.9999999,68.00000042,3,122.2923055,529.9999845,3.881536554,GGININDER
105,1,9,1,173.7249807,66.00000054,3,122.2923055,446.5263317,3.881536554,Family
106,2,4,1,158.0000003,59.99999979,2,134.9999994,575.6829378,0.999999975,Brilliant
107,1,12,1,173.7249807,50.00000045,3,130.0000042,399.9999943,3.881536554,A man likes to dream.
108,1,10,1,175.999999,67.58064419,2,100.0000015,799.9999885,0.999999967,Cool
109,1,6,2,178.0000001,67.58064419,4,180.0000012,511.9999842,0.870000008,"I'm a super cool rapper, yo."
110,1,3,2,173.7249807,55.00000015,4,110.0000009,865.9999895,1.999999934,
111,1,7,1,173.7249807,67.58064419,4,87.99999952,399.9999943,0.01,
112,1,1,2,173.0000004,69.00000036,4,120.0000003,279.9999925,1.999999934,I am geek.
113,1,5,1,168.0000007,70.0000003,3,120.0000003,399.9999943,3.881536554,Show me what you got?
114,1,7,2,175,61.00000083,3,87.00000048,1031.000027,3.881536554,Amazing
115,1,7,1,165.0000006,62.00000077,3,87.00000048,300.0000045,0.870000008,Nihilisim
116,1,5,1,165.0000006,62.00000077,3,87.00000048,300.0000045,0.870000008,Nihilisim
117,1,7,2,175.999999,60.00000089,3,100.0000015,446.5263317,0,Very handsome.
118,2,6,1,167.9999996,54.38461581,4,132.250002,800.0000007,4.100000005,Never say never
119,1,7,2,170.0000003,49.00000051,1,121.9999984,1028.99998,8.999999705,?
120,1,7,2,171.9999999,58.00000101,3,122.2923055,600.0000089,0.199999997,Curious
121,1,5,1,181.9999993,68.00000042,5,144.9999988,499.9999841,3.881536554,I am intelligent.
122,1,7,2,173.7249807,72.00000018,5,120.0000003,249.999992,0.499999984,I'm so handsome.
123,2,7,2,155.0000002,47.0000001,3,124.000001,280.0000129,0.499999987,
124,1,6,2,173.9999995,86.00000143,5,100.0000015,5.000000257,3.881536554,You don't have a beauty without a beat.
125,1,3,2,160.0000001,55.00000015,3,122.2923055,446.5263317,3.881536554,
126,1,7,2,165.0000006,67.58064419,4,120.0000003,446.5263317,1.099999995,Intelligent
127,1,1,1,175,67.58064419,5,100.0000015,999.9999681,0.060000002,I?™m handsome
128,1,12,2,175,62.00000077,3,110.0000009,261.9999922,0.120000004,Patient and careful
129,1,7,2,173.7249807,67.58064419,3,122.2923055,199.9999971,3.499999885,Hellow world
130,2,2,2,152.7,54.38461581,4,100.0000015,877.0000144,0.650000026,
131,1,7,2,173.9999995,67.58064419,3,150.000003,600.0000089,1.999999934,"Stay hungry, stay foolish"
132,1,11,2,173.7249807,67.58064419,3,121.9999984,446.5263317,3.881536554,.
133,1,7,1,183.8999987,59.00000095,3,180.0000012,3.000000045,3.881536554,Six six six
134,1,12,1,173.7249807,67.58064419,1,121.9999984,446.5263317,3.881536554,.
135,1,4,1,190.0000006,98.99999857,1,50,446.5263317,3.881536554,God Damon looser
136,1,5,1,165.0000006,80.00000179,2,122.2923055,399.9999943,0.499999984,123
137,1,12,2,173.7249807,66.00000054,5,122.2923055,446.5263317,5.000000145,smart
138,1,7,1,171.9999999,71.00000024,3,100.0000015,80.00000412,2.999999902,Hello World
139,1,12,2,181.0000002,67.58064419,5,122.2923055,99.99999857,3.881536554,I don?™t know
140,1,12,2,173.0000004,67.58064419,3,130.0000042,446.5263317,0.999999967,
141,1,7,1,170.9999993,73.00000012,2,122.2923055,399.9999943,1.999999934,
142,1,7,2,167.0000002,63.00000072,3,122.2923055,1737.000061,3.881536554,
143,2,3,1,155.0000002,47.99999978,3,133.0000013,575.6829378,2.510735898,Hello world
144,1,7,1,173.0000004,73.00000012,3,50,5.000000257,0.499999984,Oh
145,2,6,1,160.0000004,54.38461581,5,145.9999979,500.0000009,8.20000001,"I'm a common girl, just like others."
146,1,8,2,168.0000007,63.00000072,2,80.00000045,327.9999932,1.999999934,
147,2,5,1,161.0321424,48.99999973,3,87.00000048,575.6829378,2.510735898,Hi
148,1,11,2,167.0000002,53.00000027,3,80.00000045,446.5263317,5.000000145,humorous
149,2,4,2,157.0000003,69.99999934,4,121.9999984,350.000001,0.79000003,I don't want to be defined.
150,2,5,2,167.9999996,48.99999973,1,87.00000048,2000,2.510735898,Hi
151,1,10,1,171.9999999,71.00000024,3,100.0000015,80.00000412,2.999999902,Hello World
152,1,12,1,178.9999992,73.00000012,4,101.0000005,446.5263317,15.00000013,Cool
153,1,11,2,173.7249807,67.58064419,5,200,255.9999921,7.999999738,
154,1,12,2,180.0000012,66.00000054,4,122.2923055,10.00000051,3.881536554,Smart
155,2,6,1,161.0321424,47.99999978,4,132.250002,700.0000008,4.999999994,I am who I am
156,1,4,2,178.9999992,86.00000143,4,122.2923055,351.0000052,0.00015,
157,1,7,2,184.9999994,84.9999994,3,90.00000209,99.99999857,10.00000029,Zzzz
158,1,4,2,173.7249807,66.00000054,2,180.0000012,0,0,123
159,1,10,2,178.0000001,67.58064419,4,130.0000042,199.9999971,3.999999869,Less is more
160,1,12,2,180.0000012,67.58064419,4,180.0000012,446.5263317,0.999999967,Smart
161,2,6,2,161.0000004,50.00000024,2,120.0000003,575.6829378,2.510735898,Beautiful
162,1,2,2,164.0000001,67.58064419,2,115.0000006,446.5263317,0.999999967,Always smile
163,1,7,1,180.0000012,67.58064419,3,100.0000015,99.99999857,3.881536554,Hello
164,1,8,1,200,100.0000006,3,200,446.5263317,3.881536554,GOAT
165,2,6,2,154.0000002,54.38461581,5,120.0000003,575.6829378,0.01,
166,1,7,1,173.7249807,66.00000054,3,110.0000009,559.9999849,0.999999967,Good
167,1,4,2,171.9999999,70.0000003,3,150.000003,1212.000018,0.999999967,XD
168,1,5,1,170.0000003,63.00000072,3,143.9999998,629.0000211,1.399999923,
169,1,7,2,173.9999995,67.58064419,3,96.99999988,30.00000045,0.999999967,couchpotatos
170,1,10,2,167.0000002,47.0000001,2,87.00000048,87.0000013,3.881536554,Sleep
171,1,3,2,165.0000006,57.00000003,5,180.0000012,599.0000206,0.300000006,
172,2,6,1,162.0000004,54.00000006,4,110.0000009,264.9999921,0.999999975,Nice
173,1,7,2,170.0000003,67.58064419,3,51.00000002,0,6.769999784,hopeless
174,1,7,2,173.0000004,58.00000101,5,130.0000042,199.9999971,3.881536554,Good Morning
175,1,7,2,173.0000004,58.00000101,3,130.0000042,446.5263317,3.881536554,
176,1,8,2,170.9999993,44.00000002,4,100.0000015,300.0000045,2.40999997,I'm nice
177,1,7,2,171.9999999,53.00000027,3,100.0000015,99.99999857,5.000000145,handsome
178,2,11,1,163.0000005,54.99999946,3,110.0000009,300.000001,0,misaka mikoto
179,1,12,1,178.9999992,73.00000012,4,101.0000005,399.9999943,3.881536554,Cool
180,1,12,2,180.0000012,80.00000179,3,122.2923055,803.0000237,0,
181,2,6,2,161.0321424,57.99999988,3,180.0000012,833.9999804,0.003,
182,1,5,2,175.999999,65.0000006,5,180.0000012,446.5263317,0.499999984,The color of Happy is orange
183,2,6,1,151.0000001,52.99999955,5,100.0000015,200.0000011,0.999999975,I?™m happy.
184,1,7,2,170.0000003,67.58064419,2,120.0000003,412.9999828,3.881536554,Handsome
185,2,6,2,161.0321424,48.99999973,5,130.0000042,402.9999992,2.510735898,
186,1,5,1,173.0000004,55.00000015,5,122.2923055,499.9999841,3.881536554,
187,1,7,2,167.0000002,67.00000048,2,130.0000042,446.5263317,2.999999902,
188,1,7,2,167.0000002,67.58064419,2,130.0000042,300.0000045,3.881536554,Awesome
189,1,7,2,180.0000012,76.00000203,5,132.0000023,249.999992,3.881536554,I'm a positive person.
190,1,10,2,173.7249807,72.00000018,4,127.9999971,157.0000082,1.200000022,Takami Chika <3
191,1,4,1,190.0000006,67.58064419,1,50,446.5263317,3.881536554,
192,1,5,2,165.0000006,67.58064419,2,130.0000042,399.9999943,0.499999984,123
193,1,12,2,171.9999999,66.00000054,5,180.0000012,446.5263317,5.000000145,smart
194,1,10,1,171.9999999,67.58064419,3,122.2923055,80.00000412,2.999999902,Hello World
195,1,12,1,181.0000002,67.58064419,3,200,99.99999857,3.881536554,I don?™t know
196,1,12,2,173.0000004,60.00000089,5,130.0000042,446.5263317,0.999999967,Hungry
197,1,7,2,173.7249807,73.00000012,2,180.0000012,399.9999943,3.881536554,Handsome
198,1,7,2,173.7249807,63.00000072,5,144.9999988,446.5263317,0.999999967,
199,2,3,2,155.0000002,47.99999978,3,133.0000013,1099.999941,4.999999994,Hello world
200,1,7,1,173.0000004,73.00000012,3,50,5.000000257,3.881536554,
201,2,6,1,160.0000004,54.99999946,5,145.9999979,500.0000009,8.20000001,"I'm a common girl, just like others."
202,1,8,2,168.0000007,63.00000072,3,80.00000045,327.9999932,1.999999934,Fat man
203,2,5,1,161.0321424,48.99999973,3,87.00000048,575.6829378,2.510735898,Hi
204,1,7,2,167.0000002,53.00000027,4,80.00000045,446.5263317,3.881536554,humorous
205,2,4,2,157.0000003,69.99999934,4,121.9999984,575.6829378,0.79000003,I don't want to be defined.
206,2,5,1,167.9999996,48.99999973,1,87.00000048,2000,2.510735898,Hi
207,1,10,1,171.9999999,71.00000024,3,100.0000015,80.00000412,2.999999902,
208,1,12,1,178.9999992,73.00000012,4,101.0000005,399.9999943,3.881536554,
209,1,11,2,173.7249807,67.58064419,5,122.2923055,446.5263317,3.881536554,QAQ
210,1,12,2,173.7249807,66.00000054,4,180.0000012,10.00000051,0.999999967,Smart
211,2,5,2,155.0000002,47.99999978,4,132.250002,700.0000008,4.999999994,I am who I am
212,1,4,2,178.9999992,67.58064419,3,134.9999994,351.0000052,3.881536554,peace
213,1,7,2,184.9999994,84.9999994,4,90.00000209,99.99999857,10.00000029,Zzzz
214,1,4,2,180.0000012,66.00000054,3,180.0000012,446.5263317,0,123
215,1,10,1,178.0000001,63.00000072,4,130.0000042,199.9999971,3.881536554,Less is more
216,1,12,2,180.0000012,66.00000054,3,180.0000012,10.00000051,3.881536554,
217,2,6,2,161.0000004,50.00000024,2,120.0000003,150.0000011,2.510735898,
218,1,2,2,164.0000001,66.00000054,3,115.0000006,446.5263317,0.999999967,Always smile
219,1,4,1,180.0000012,70.0000003,4,100.0000015,99.99999857,3.881536554,Hello
220,1,7,1,200,100.0000006,1,200,446.5263317,3.881536554,GOAT
221,2,3,2,154.0000002,45.99999987,5,120.0000003,69.99999668,0.01,Optimistic
222,1,8,1,175,66.00000054,3,110.0000009,559.9999849,0.999999967,
223,1,4,2,171.9999999,70.0000003,3,150.000003,446.5263317,0.999999967,XD
224,1,5,2,170.0000003,63.00000072,2,143.9999998,629.0000211,1.399999923,
225,1,7,2,173.9999995,67.00000048,3,96.99999988,30.00000045,0.999999967,
226,1,10,2,173.7249807,47.0000001,2,122.2923055,87.0000013,0,Sleep
227,1,3,2,173.7249807,57.00000003,3,180.0000012,446.5263317,3.881536554,OAO
228,2,10,1,162.0000004,54.38461581,4,132.250002,264.9999921,0.999999975,
229,1,4,2,170.0000003,55.00000015,3,122.2923055,0,6.769999784,hopeless
230,1,7,2,173.0000004,58.00000101,3,130.0000042,199.9999971,3.881536554,Good Morning
231,1,7,2,173.0000004,58.00000101,5,130.0000042,199.9999971,3.881536554,Good Morning
232,1,8,2,170.9999993,44.00000002,4,100.0000015,300.0000045,2.40999997,I'm nice
233,1,7,2,173.7249807,53.00000027,3,100.0000015,99.99999857,5.000000145,handsome
234,2,11,1,163.0000005,54.99999946,3,132.250002,300.000001,0,misaka mikoto
235,1,7,1,178.9999992,73.00000012,4,101.0000005,399.9999943,15.00000013,Cool
236,1,12,2,180.0000012,67.58064419,4,101.0000005,446.5263317,0,Lazy
237,2,11,2,156.0000003,57.99999988,3,180.0000012,575.6829378,0.003,I don't know.
238,1,7,2,175.999999,67.58064419,5,122.2923055,399.9999943,0.499999984,The color of Happy is orange
239,2,11,1,161.0321424,52.99999955,5,132.250002,200.0000011,0.999999975,
240,1,7,2,170.0000003,67.58064419,2,120.0000003,412.9999828,19.58999977,Handsome
241,2,5,2,158.0000003,48.99999973,5,130.0000042,402.9999992,0,introvert
242,1,7,1,173.0000004,55.00000015,5,199.000001,499.9999841,1.099999995,Happy
243,1,7,2,173.7249807,67.00000048,3,130.0000042,300.0000045,2.999999902,Awesome
244,1,7,2,167.0000002,67.58064419,2,122.2923055,446.5263317,2.999999902,Awesome
245,1,10,2,180.0000012,76.00000203,3,132.0000023,249.999992,5.000000145,I'm a positive person.
246,1,7,2,181.0000002,72.00000018,4,127.9999971,157.0000082,3.881536554,Takami Chika <3
247,1,11,2,170.0000003,63.00000072,5,140.0000036,312.0000046,2.999999902,
248,1,12,2,175.999999,67.58064419,3,180.0000012,446.5263317,3.881536554,Nerd
249,1,3,2,173.7249807,90.00000119,5,122.2923055,446.5263317,0.099999999,happy gay
250,1,4,2,175,75,1,130.0000042,495.0000074,0.799999989,
251,1,12,2,170.9999993,59.00000095,3,131.0000032,1234.000042,0.999999967,
252,1,2,2,165.0000006,56.00000009,5,143.0000007,446.5263317,0.199999997,who am i
253,1,4,1,173.7249807,86.99999928,5,200,0.999999969,0,
254,2,7,2,161.0321424,54.38461581,1,50,575.6829378,2.510735898,
255,1,8,2,168.0000007,100.0000006,3,122.2923055,300.0000045,0.999999967,Stupid
256,1,8,2,170.9999993,67.58064419,2,87.00000048,199.9999971,3.881536554,Amazing
257,1,7,2,173.7249807,66.00000054,3,122.2923055,446.5263317,15.59999998,I am so beautiful
258,1,5,2,165.9999996,67.00000048,2,87.00000048,446.5263317,0.499999984,Hi
259,1,1,1,170.9999993,70.0000003,4,180.0000012,480.0000072,0.870000008,I am a student.
260,1,6,2,173.7249807,78.00000191,2,100.0000015,3.000000045,3.881536554,Dope
261,1,9,2,180.0000012,80.00000179,3,100.0000015,150.0000022,20.00000058,
262,1,5,2,170.9999993,56.00000009,3,100.0000015,199.9999971,1.999999934,Tired.
263,2,8,2,147,54.38461581,1,168.0000037,1032.999981,2.510735898,
264,1,1,2,173.7249807,86.99999928,3,87.00000048,446.5263317,3.881536554,nine four eight seven
265,1,11,1,180.0000012,67.58064419,2,172.9999989,446.5263317,3.881536554,Wise
266,1,2,2,173.7249807,67.58064419,3,87.00000048,12.00000018,11.99999961,Re
267,2,5,1,161.0321424,54.38461581,5,154.9999982,575.6829378,2.510735898,May God blessing you
268,2,3,2,161.0321424,52.00000015,3,132.250002,575.6829378,1.400000037,Lazy
269,1,2,1,175.999999,76.00000203,4,100.0000015,10.00000051,10.00000029,Nice!
270,1,10,2,173.7249807,67.58064419,5,120.0000003,446.5263317,0,
271,1,7,2,173.7249807,100.0000006,1,87.00000048,446.5263317,0,Useless
272,1,3,2,168.0000007,62.00000077,2,120.0000003,900.0000134,0.300000006,Superior
273,1,4,1,162.9999995,51.00000039,2,122.2923055,1200.000018,3.881536554,I am a nerd
274,1,3,2,180.0000012,68.00000042,4,180.0000012,249.999992,0.999999967,I love Metallica!
275,1,7,1,162.9999995,51.00000039,3,125.999999,1200.000018,2.999999902,I am a nerd
276,1,7,2,173.7249807,48.00000004,3,122.2923055,499.9999841,0.499999984,Quite
277,1,5,2,187.9999995,76.00000203,1,184.9999964,446.5263317,3.881536554,I have to leave on 7:40
278,2,6,2,161.0321424,54.38461581,3,180.0000012,575.6829378,2.510735898,I am a fat guy
279,2,8,1,169.9999997,54.38461581,4,132.250002,87.00000144,2.510735898,Normal
280,1,11,1,177.0000011,60.00000089,1,131.0000032,600.0000089,3.881536554,I?™m handsome
281,1,11,2,173.9999995,80.00000179,4,130.0000042,255.0000038,0.300000006,
282,1,11,1,173.9999995,80.00000179,4,130.0000042,255.0000038,3.881536554,Creative
283,1,3,2,175.999999,65.0000006,5,180.0000012,499.9999841,0.999999967,Specialist
284,1,10,2,173.7249807,72.00000018,5,140.0000036,1299.999973,5.000000145,Jesus
285,2,5,2,155.0000002,45.99999987,2,87.00000048,1249.999971,2.510735898,
286,1,8,1,170.0000003,63.00000072,2,130.0000042,446.5263317,5.999999803,QQ
287,2,4,2,159.0000004,45.00000005,4,132.250002,398.0000021,3.000000045,Red
288,1,9,1,180.0000012,67.58064419,5,199.000001,998.9999798,3.881536554,Handsome
289,1,8,2,184.0000004,71.00000024,5,122.2923055,700.0000338,0.999999967,
290,1,11,1,175,70.0000003,4,50,446.5263317,3.881536554,I?™m sorry
291,1,12,2,170.0000003,61.00000083,3,87.99999952,499.9999841,1.999999934,Shiny guy
292,1,1,2,173.7249807,67.58064419,3,200,446.5263317,3.881536554,
293,1,11,1,180.0000012,62.00000077,2,122.2923055,600.0000089,0,I?™m a smart person.
294,1,7,1,173.7249807,76.00000203,4,199.000001,1286.999984,3.881536554,I?™m an honest man
295,1,5,1,165.0000006,74.00000006,2,140.0000036,350.0000169,3.999999869,Hello world
296,1,1,1,150,40,3,100.0000015,1500.000022,10.00000029,
297,1,7,1,171.9999999,72.00000018,3,100.0000015,121.999996,0.999999967,
298,2,5,2,161.0321424,54.38461581,1,50,1111.000054,2.510735898,I'm outlier
299,2,4,2,167.9999996,57.99999988,3,132.250002,254.9999981,0.999999975,I'm not sleepy.
300,1,2,1,177.0000011,58.00000101,2,150.000003,2355,3.881536554,
301,1,8,2,170.0000003,68.00000042,5,161.0000014,1299.999973,5.000000145,Supercold
302,2,5,2,150.0000001,44.00000002,3,160.0000024,700.0000008,2.510735898,
303,2,3,2,180,54.38461581,3,200,575.6829378,2.510735898,Haha
304,2,3,2,180,77.99999899,1,200,575.6829378,2.510735898,
305,2,1,2,161.0000004,54.38461581,4,200,575.6829378,0.999999975,
306,1,7,2,175.999999,67.58064419,4,50,666.0000099,0,
307,1,11,2,187.0000005,67.58064419,3,122.2923055,870.000013,3.881536554,878787
308,2,12,2,161.0321424,54.38461581,5,199.000001,9.999999884,0.999999975,good
309,1,4,1,177.0000011,67.58064419,5,100.0000015,354.9999936,7.999999738,Handsome
310,1,6,2,170.0000003,60.00000089,3,187.0000035,0,6.999999771,I don't know and I don't care.
311,1,3,1,180.0000012,110,3,140.0000036,249.999992,0.499999984,Stay hungry stay foolish
312,1,7,2,175,67.58064419,5,151.000002,1234.000042,5.869999999,I have superpower!
313,1,3,2,178.0000001,82.00000167,5,122.2923055,513.0000076,0.499999984,Cool
314,1,5,1,177.0000011,67.58064419,3,110.0000009,1458.99994,2.999999902,I?™m a good man
315,1,7,2,173.7249807,68.00000042,3,125,446.5263317,2.999999902,Often enjoy daily life.
316,1,7,2,180.0000012,80.00000179,3,183.9999974,700.0000338,10.00000029,Good
317,1,3,2,173.7249807,82.99999952,4,50,0,3.881536554,
318,1,5,2,183.0000013,82.00000167,4,122.2923055,1526.999988,12.48999982,I'm a Jedi
319,1,11,1,173.7249807,65.0000006,4,120.0000003,446.5263317,3.881536554,I am handsome
320,1,11,2,175,67.58064419,3,200,399.9999943,3.881536554,I?™m a sexy guy.
321,1,3,1,173.7249807,84.9999994,5,120.0000003,799.9999885,3.881536554,a normal man
